stars,text,clean_text,sentences,lemm_sentences
5,Costo beneficio correcto. Limpio y comodo de usar. Buena piscina para ejercitarse y ambiente campestre a pesar que esta en medio de un are comercial densa.,costo beneficio correcto. limpio y comodo de usar. buena piscina para ejercitarse y ambiente campestre a pesar que esta en medio de un are comercial densa.,"['costo beneficio correcto', 'limpio y comodo de usar', 'buena piscina para ejercitarse y ambiente campestre a pesar que esta en medio de un are comercial densa']","['costo beneficio correcto', 'limpio y comodo de usar', 'buen piscina para ejercitar él y ambiente campestrar a pesar que este en medio de uno are comercial denso']"
5,Buena atención del personal. Muy higiénico. Rica comida. Una buena opción para ejercitar y descomponer un rato.,buena atencion del personal. muy higienico. rica comida. una buena opcion para ejercitar y descomponer un rato.,"['buena atencion del personal', 'muy higienico', 'rica comida', 'una buena opcion para ejercitar y descomponer un rato']","['buen atencion del personal', 'mucho higienico', 'rico comida', 'uno buen opcion para ejercitar y descomponer uno rato']"
5,Me encanto el lugar super recomendado La amabilidad la atención y la comida de lo mejor para hacer sus eventos,me encanto el lugar super recomendado la amabilidad la atencion y la comida de lo mejor para hacer sus eventos,['me encanto el lugar super recomendado la amabilidad la atencion y la comida de lo mejor para hacer sus eventos'],['yo encantar el lugar super recomendado el amabilidad el atencion y el comida de él mejor para hacer su evento']
5,"Un lugar para ejercitarse en el gimnasio, clases de baile, nadar y relajarse en el sauna. Terminando con un delicioso churrasco.","un lugar para ejercitarse en el gimnasio, clases de baile, nadar y relajarse en el sauna. terminando con un delicioso churrasco.","['un lugar para ejercitarse en el gimnasio clases de baile nadar y relajarse en el sauna', 'terminando con un delicioso churrasco']","['uno lugar para ejercitar él en el gimnasio clase de baile nadar y relajar él en el sauna', 'terminar con uno delicioso churrasco']"
5,"Un bello lugar para respirar aire puro, nadar, hacer ejercicio en el gym, bailar o simplemente estar sentado en las mesas a la orulla de la piscina para leer un libro degustando de las delicias del restaurante. Visítenlo!! 😉👌…","un bello lugar para respirar aire puro, nadar, hacer ejercicio en el gym, bailar o simplemente estar sentado en las mesas a la orulla de la piscina para leer un libro degustando de las delicias del restaurante. visitenlo!! 😉👌…","['un bello lugar para respirar aire puro nadar hacer ejercicio en el gym bailar o simplemente estar sentado en las mesas a la orulla de la piscina para leer un libro degustando de las delicias del restaurante', 'visitenlo']","['uno bello lugar para respirar aire puro nadar hacer ejercicio en el gym bailar o simplemente estar sentado en el mesa a el orulla de el piscina para leer uno libro degustar de el delicia del restaurante', 'visitenlo']"
5,Muy limpio y ordenado ⭐,muy limpio y ordenado ⭐,['muy limpio y ordenado '],['mucho limpio y ordenado']
5,"Piscina, pesas, canchas de fut y tenis","piscina, pesas, canchas de fut y tenis",['piscina pesas canchas de fut y tenis'],['piscinar pesa cancha de fut y tenis']
5,Fuimos a la fiesta de graduación de mi nieta. Buen servicio.,fuimos a la fiesta de graduacion de mi nieta. buen servicio.,"['fuimos a la fiesta de graduacion de mi nieta', 'buen servicio']","['ir a el fiesta de graduacion de mi nieta', 'buen servicio']"
4,Buen lugar para fiestas,buen lugar para fiestas,['buen lugar para fiestas'],['buen lugar para fiesta']
5,Todo bien 🙂 👍…,todo bien 🙂 👍…,['todo bien  '],['todo bien']
